Car,Distance Left,Distance Forwards,Distance Right,Move Choice,Velocity(px),Angle(deg)
Car 1,186,50,41,1,5,-10
Car 2,157,34,59,0,5,-10
Car 3,186,50,41,1,5,-10
Car 4,186,50,41,1,5,-10
Car 5,157,34,59,0,5,-10
Car 6,157,34,59,0,5,-10
Car 7,157,34,59,0,5,-10
Car 8,186,50,41,1,5,-10
Car 9,186,50,41,1,5,-10
Car 10,157,34,59,0,5,-10
Car 1,186,50,41,1,5,-10
Car 2,157,34,59,0,5,-10
Car 3,186,50,41,1,5,-10
Car 4,186,50,41,1,5,-10
Car 5,157,34,59,0,5,-10
Car 6,157,34,59,0,5,-10
Car 7,157,34,59,0,5,-10
Car 8,186,50,41,1,5,-10
Car 9,186,50,41,1,5,-10
Car 10,157,34,59,0,5,-10
Car 1,186,50,41,1,5,-10
Car 2,157,34,59,0,5,-10
Car 3,186,50,41,1,5,-10
Car 4,186,50,41,1,5,-10
Car 5,157,34,59,0,5,-10
Car 6,157,34,59,0,5,-10
Car 7,157,34,59,0,5,-10
